Common Name,Scientific Name,Description,Light Requirement,Water Requirement,Space,Maintenance Level,Shape and Form,Blooms or Foliage,Special Features,Foliage Color and Texture
Persian Violet,Exacum affine,"Persian Violet is a flowering plant known for its vibrant blue, star-shaped flowers and glossy, dark green leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Poinsettia,Euphorbia pulcherrima,"Poinsettia is a popular holiday plant known for its vibrant red or white bracts surrounding small, inconspicuous flowers. It prefers bright, indirect light and consistent moisture.",High-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,Flowering Plant,
Primrose,Primula spp.,"Primrose is a flowering plant known for its bright, colorful flowers and rosettes of green leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Rex Begonia,Begonia rex,"Rex Begonia is a popular houseplant known for its colorful, striking foliage with unique patterns and textures. It prefers medium indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,"Colorful Foliage, Unique Textures",
Shrimp Plant,Justicia brandegeeana,"Shrimp Plant is known for its unique, shrimp-like bracts and tubular flowers. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Medium-Space Plant,Low-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Streptocarpella,Streptocarpus spp.,"Streptocarpella is a flowering plant known for its delicate, tubular flowers and soft, velvety leaves. It prefers medium indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Lipstick Plant,Aeschynanthus spp.,"Lipstick Plant is a trailing plant known for its tubular, lipstick-like flowers and glossy, green leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Flowering Plant,Flowering Plant,
Lipstick Vine,Aeschynanthus spp.,Lipstick Vine is another name for Lipstick Plant. Please refer to the Lipstick Plant entry above.,,,,,,,,
Chenille Plant,Acalypha hispida,"Chenille Plant is known for its unique, fuzzy, red flower spikes and green leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Fuchsia,Fuchsia spp.,"Fuchsia is a flowering plant known for its stunning, pendulous flowers that come in various colors. It prefers medium indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Goldfish Plant,Columnea spp.,"Goldfish Plant is known for its bright, goldfish-shaped flowers and trailing growth habit. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Climbing and Trailing Plant,Flowering Plant,Flowering Plant,
Hoya Carnosa,Hoya carnosa,"Hoya Carnosa is a popular vining plant known for its waxy, star-shaped flowers and thick, succulent leaves. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Flowering Plant,Flowering Plant,
Ivy Geranium,Pelargonium peltatum,"Ivy Geranium is a trailing plant known for its vibrant, round flowers and ivy-like leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Climbing and Trailing Plant,Flowering Plant,Flowering Plant,
Lipstick Plant,Aeschynanthus radicans,"Lipstick Plant (Aeschynanthus radicans) is a specific variety of the Lipstick Plant, known for its tubular, red flowers and glossy, green leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Flowering Plant,Flowering Plant,
Orchid Cactus,Epiphyllum spp.,"Orchid Cactus is known for its large, stunning, and colorful flowers. It prefers bright indirect light and well-draining soil.",High-Light,Drought-Tolerant,Medium-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Unusual or Exotic Plants,
Wax Plant,Hoya spp.,Wax Plant is a genus of flowering plants with waxy leaves and star-shaped flowers. It prefers medium to bright indirect light and well-draining soil.,Medium-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Flowering Plant,,
Moth Orchid,Phalaenopsis spp.,"Moth Orchid is a popular type of orchid known for its long-lasting, butterfly-like flowers. It prefers low to medium indirect light and well-draining soil.",Low-Light,Drought-Tolerant,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,Unusual or Exotic Plants,
Cattleya Orchid,Cattleya spp.,"Cattleya Orchid is known for its large, showy flowers and bold colors. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Drought-Tolerant,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Unusual or Exotic Plants,
Dendrobium Orchid,Dendrobium spp.,Dendrobium Orchid is a diverse genus of orchids with various flower sizes and colors. It prefers medium to bright indirect light and well-draining soil.,Medium-Light,Drought-Tolerant,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Unusual or Exotic Plants,
Oncidium Orchid,Oncidium spp.,"Oncidium Orchid is known for its delicate, butterfly-shaped flowers and long, arching flower spikes. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Drought-Tolerant,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Unusual or Exotic Plants,
Paphiopedilum Orchid,Paphiopedilum spp.,"Paphiopedilum Orchid, also known as slipper orchid, is recognized for its unique pouch-like flowers. It prefers low to medium indirect light and well-draining soil.",Low-Light,Drought-Tolerant,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Unusual or Exotic Plants,
Miltoniopsis Orchid,Miltoniopsis spp.,"Miltoniopsis Orchid, commonly known as Pansy Orchid, is admired for its delicate, pansy-like flowers. It prefers low to medium indirect light and well-draining soil.",Low-Light,Moisture-Loving,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Unusual or Exotic Plants,
Cymbidium Orchid,Cymbidium spp.,"Cymbidium Orchid is a popular type of orchid with long-lasting, waxy flowers. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Drought-Tolerant,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Unusual or Exotic Plants,
Vanda Orchid,Vanda spp.,"Vanda Orchid is known for its large, vibrant, and fragrant flowers. It prefers high light and well-draining soil, often grown in baskets without soil.",High-Light,Drought-Tolerant,Large-Space Plant,High-Maintenance,Climbing and Trailing Plant,Flowering Plant,"Unusual or Exotic Plants, Fragrant Plants",
Masdevallia Orchid,Masdevallia spp.,"Masdevallia Orchid is a unique type of orchid with tubular, brightly colored flowers. It prefers low to medium indirect light and well-draining soil.",Low-Light,Moisture-Loving,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Unusual or Exotic Plants,
Brassia Orchid,Brassia spp.,"Brassia Orchid, also known as Spider Orchid, features large, star-shaped flowers with long, slender petals. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Drought-Tolerant,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Unusual or Exotic Plants,
Odontoglossum Orchid,Odontoglossum spp.,"Odontoglossum Orchid is known for its intricate, colorful flowers with unique patterns. It prefers low to medium indirect light and well-draining soil.",Low-Light,Moisture-Loving,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Unusual or Exotic Plants,
Lycaste Orchid,Lycaste spp.,"Lycaste Orchid is admired for its large, waxy flowers with a pleasant fragrance. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Fragrant Plants,
Zygopetalum Orchid,Zygopetalum spp.,"Zygopetalum Orchid features stunning, fragrant flowers with distinctive patterns. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Fragrant Plants,
Maxillaria Orchid,Maxillaria spp.,"Maxillaria Orchid is known for its small, fragrant flowers that resemble a bee. It prefers low to medium indirect light and well-draining soil.",Low-Light,Moisture-Loving,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Fragrant Plants,
Epidendrum Orchid,Epidendrum spp.,Epidendrum Orchid features reed-like stems and clusters of brightly colored flowers. It prefers medium to bright indirect light and well-draining soil.,Medium-Light,Drought-Tolerant,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Bulbophyllum Orchid,Bulbophyllum spp.,"Bulbophyllum Orchid is the largest genus of orchids, with unique, often bizarre-looking flowers. It prefers low to medium indirect light and well-draining soil.",Low-Light,Moisture-Loving,Small-Space Plant,High-Maintenance,Climbing and Trailing Plant,Flowering Plant,Unique flower morphology,
Encyclia Orchid,Encyclia spp.,Encyclia Orchid features star-shaped flowers with a unique lip. It prefers medium to bright indirect light and well-draining soil.,Medium-Light,Drought-Tolerant,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Laelia Orchid,Laelia spp.,"Laelia Orchid is known for its stunning, colorful flowers that bloom in clusters. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Drought-Tolerant,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Brassavola Orchid,Brassavola spp.,"Brassavola Orchid features slender, green leaves and fragrant, white flowers that open at night. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Drought-Tolerant,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,"Fragrant Plants, Night-Blooming Flowers",
Phaius Orchid,Phaius spp.,"Phaius Orchid is known for its large, showy flowers that come in various colors. It prefers medium indirect light and consistently moist, well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Sobralia Orchid,Sobralia spp.,"Sobralia Orchid features tall, reed-like stems and large, colorful flowers. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Drought-Tolerant,Medium-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Bletilla Orchid,Bletilla spp.,"Bletilla Orchid is a terrestrial orchid with showy, delicate flowers. It prefers medium indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Coelogyne Orchid,Coelogyne spp.,"Coelogyne Orchid features attractive, fragrant flowers in various colors. It prefers medium indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,Fragrant Plants,
Stanhopea Orchid,Stanhopea spp.,"Stanhopea Orchid is known for its large, waxy, and fragrant flowers that hang beneath the foliage. It prefers medium indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Climbing and Trailing Plant,Flowering Plant,"Fragrant Plants, Unique Hanging Flowers",
Gongora Orchid,Gongora spp.,"Gongora Orchid features unique, pendant-like flowers with a distinct fragrance. It prefers medium to bright indirect light and well-draining, moist soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Climbing and Trailing Plant,Flowering Plant,"Fragrant Plants, Unique Hanging Flowers",
Grammatophyllum Orchid,Grammatophyllum spp.,"Grammatophyllum Orchid is known for its massive, cylindrical flower spikes with numerous large flowers. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Large-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Vanilla Orchid,Vanilla spp.,"Vanilla Orchid is a climbing orchid that produces fragrant flowers and vanilla beans. It prefers medium to bright indirect light and consistently moist, well-draining soil.",Medium-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Climbing Plant,Flowering Plant,"Fragrant Plants, Edible Vanilla Beans",
Catasetum Orchid,Catasetum spp.,"Catasetum Orchid features unique, unisexual flowers that change their appearance between male and female forms. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,Unusual or Exotic Plants,
Angraecum Orchid,Angraecum spp.,"Angraecum Orchid is known for its stunning, star-shaped, fragrant flowers. It prefers medium indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,Fragrant Plants,
Renanthera Orchid,Renanthera spp.,"Renanthera Orchid features vibrant, long-lasting flowers in red or orange shades. It prefers medium to bright indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Neofinetia Orchid,Neofinetia spp.,"Neofinetia Orchid is a miniature, monopodial orchid with fragrant, white flowers. It prefers medium indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,Fragrant Plants,
Psychopsis Orchid,Psychopsis spp.,"Psychopsis Orchid features striking, butterfly-like flowers that can last for months. It prefers medium indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Phragmipedium Orchid,Phragmipedium spp.,"Phragmipedium Orchid, also known as slipper orchid, features unique, slipper-shaped flowers. It prefers medium indirect light and well-draining, moist soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Aerangis Orchid,Aerangis spp.,"Aerangis Orchid is a group of small, monopodial orchids with delicate, fragrant flowers. It prefers medium indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,Fragrant Plants,
Aeranthes Orchid,Aeranthes spp.,"Aeranthes Orchid features long-lasting, translucent, greenish-white flowers. It prefers medium indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Polystachya Orchid,Polystachya spp.,"Polystachya Orchid is a diverse group of orchids with unique, non-resupinate flowers. It prefers medium indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Scaphosepalum Orchid,Scaphosepalum spp.,"Scaphosepalum Orchid features small, uniquely-shaped flowers with elongated, curved sepals. It prefers medium indirect light and well-draining soil.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Plectrelminthus Orchid,Plectrelminthus spp.,"Plectrelminthus Orchids are characterized by their fascinating, colorful flowers, and sweet, spicy fragrance. These orchids are popular among collectors for their eye-catching beauty and unique scent.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,Fragrant Plants,
Leptotes Orchid,Leptotes spp.,"Leptotes Orchids are small, epiphytic orchids with charming, delicate flowers. They are prized for their ability to adapt to various environments, making them an excellent choice for orchid enthusiasts.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,,
Fiddle Leaf Fig,Ficus lyrata,"Fiddle Leaf Fig is a popular houseplant with large, dramatic, violin-shaped leaves that add a touch of the tropics to any indoor space. This plant thrives in bright, indirect light and requires well-draining soil.",Bright Indirect Light,Moderate Watering,Large-Space Plant,Moderate-Maintenance,Upright Plant,Foliage Plant,,
Areca Palm,Dypsis lutescens,"Areca Palm is a graceful, feathery palm with arching fronds that add an elegant, tropical ambiance to any space. It prefers bright, indirect light and requires well-draining soil.",Bright Indirect Light,Moderate Watering,Large-Space Plant,Moderate-Maintenance,Upright Plant,Foliage Plant,,
Kentia Palm,Howea forsteriana,"Kentia Palm is a slow-growing, elegant palm with long, arching fronds that create a lush, tropical atmosphere. It is tolerant of low light conditions and prefers well-draining soil.",Low to Medium Light,Moderate Watering,Large-Space Plant,Low-Maintenance,Upright Plant,Foliage Plant,,
Bird’s Nest Fern,Asplenium nidus,"Bird’s Nest Fern is an attractive, low-maintenance fern with wavy, ribbon-like fronds that emerge from a central rosette. It thrives in medium to low light and consistently moist soil.",Medium to Low Light,Moisture-Loving,Small to Medium Space Plant,Low-Maintenance,Rosette Plant,Foliage Plant,,
Weeping Fig,Ficus benjamina,"Weeping Fig is a popular indoor tree with gracefully arching branches and glossy, dark green leaves. It prefers bright, indirect light and consistent watering for optimal growth.",Bright Indirect Light,Moderate Watering,Large-Space Plant,Moderate-Maintenance,Upright Plant,Foliage Plant,,
Schefflera,Schefflera spp.,"Schefflera, also known as Umbrella Plant, is a versatile houseplant with palmately compound leaves that form an attractive, umbrella-like canopy. It thrives in bright, indirect light and requires well-draining soil.",Bright Indirect Light,Moderate Watering,Medium to Large Space Plant,Low-Maintenance,Upright Plant,Foliage Plant,,
Monstera Deliciosa,Monstera deliciosa,"Monstera Deliciosa, also known as Swiss Cheese Plant, is a popular tropical houseplant with large, glossy, deeply lobed leaves. It thrives in bright, indirect light and requires well-draining soil.",Bright Indirect Light,Moderate Watering,Large-Space Plant,Moderate-Maintenance,Upright Plant,Foliage Plant,Air-Purifying Plants,
Monstera Adansonii,Monstera adansonii,"Monstera Adansonii is a climbing plant with distinctive, heart-shaped leaves featuring elongated holes. It thrives in bright, indirect light and prefers well-draining soil with consistent moisture.",Bright Indirect Light,Moderate Watering,Small to Medium Space Plant,Moderate-Maintenance,Climbing Plant,Foliage Plant,,
Yucca,Yucca spp.,"Yucca is a drought-tolerant plant with bold, sword-shaped leaves and a distinctive architectural form. It prefers bright light and well-draining soil, making it a low-maintenance option for modern homes.",Bright Light,Drought-Tolerant,Medium to Large Space Plant,Low-Maintenance,Upright Plant,Foliage Plant,,
Umbrella Plant,Schefflera arboricola,"Umbrella Plant is a smaller, bushier version of the Schefflera, with similar attractive, umbrella-like leaves. It thrives in bright, indirect light and requires well-draining soil.",Bright Indirect Light,Moderate Watering,Medium-Space Plant,Low-Maintenance,Upright Plant,Foliage Plant,,
Pilea Peperomioides,Pilea peperomioides,"Pilea Peperomioides, also known as Chinese Money Plant, features round, coin-shaped leaves on slender, upright stems. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Upright Plant,Foliage Plant,Pet-Friendly Plants,
Ponytail Palm,Beaucarnea recurvata,"Ponytail Palm is a unique, drought-tolerant houseplant with a bulbous base and long, arching leaves that resemble a ponytail. It prefers bright light and well-draining soil.",Bright Light,Drought-Tolerant,Medium-Space Plant,Low-Maintenance,Upright Plant,Foliage Plant,Unusual or Exotic Plants,
Nerve Plant,Fittonia albivenis,"Nerve Plant is a small, low-growing plant with striking, veined leaves in shades of green, pink, or white. It prefers bright, indirect light and consistently moist soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Moderate-Maintenance,Low-Growing Plant,Foliage Plant,Pet-Friendly Plants,
Crocodile Fern,Microsorum musifolium,"Crocodile Fern is an exotic fern with unusual, scale-like foliage that resembles crocodile skin. It thrives in bright, indirect light and consistently moist, well-draining soil.",Bright Indirect Light,Moderate Watering,Medium-Space Plant,Moderate-Maintenance,Upright Plant,Foliage Plant,Unusual or Exotic Plants,
Rattlesnake Plant,Calathea lancifolia,"Rattlesnake Plant is a striking houseplant with long, wavy leaves featuring a dark green top side and a purple underside. It prefers bright, indirect light and consistently moist, well-draining soil.",Bright Indirect Light,Moderate Watering,Medium-Space Plant,Moderate-Maintenance,Upright Plant,Foliage Plant,Air-Purifying Plants,
Sago Palm,Cycas revoluta,"Sago Palm is a slow-growing, ancient plant with a palm-like appearance, though it’s not a true palm. It prefers bright light and well-draining soil.",Bright Light,Drought-Tolerant,Medium to Large Space Plant,Low-Maintenance,Upright Plant,Foliage Plant,Unusual or Exotic Plants,
Peacock Plant,Calathea makoyana,"Peacock Plant is a tropical houseplant with large, oval leaves featuring beautiful patterns that resemble the feathers of a peacock. It prefers bright, indirect light and consistently moist soil.",Bright Indirect Light,Moderate Watering,Medium-Space Plant,Moderate-Maintenance,Upright Plant,Foliage Plant,,
Elephant Ear,Alocasia spp.,"Elephant Ear is an exotic houseplant with large, impressive leaves that resemble the shape of an elephant’s ear. It prefers bright, indirect light and well-draining, consistently moist soil.",Bright Indirect Light,Moderate Watering,Large-Space Plant,Moderate-Maintenance,Upright Plant,Foliage Plant,Unusual or Exotic Plants,
Fatsia Japonica,Aralia japonica,"Fatsia Japonica, also known as Japanese Aralia, is a tropical, broadleaf evergreen with large, glossy, palmate leaves. It prefers bright, indirect light and consistently moist soil.",Bright Indirect Light,Moderate Watering,Large-Space Plant,Moderate-Maintenance,Upright Plant,Foliage Plant,Air-Purifying Plants,
Fiddle-Leaf Fig,Ficus lyrata,"Fiddle-Leaf Fig is a popular houseplant with large, glossy, violin-shaped leaves. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Large-Space Plant,Moderate-Maintenance,Upright Plant,Foliage Plant,Air-Purifying Plants,
Majesty Palm,Ravenea rivularis,"Majesty Palm is an elegant, tropical palm with arching, feather-like fronds. It prefers bright, indirect light and consistently moist soil.",Bright Indirect Light,Moderate Watering,Large-Space Plant,Moderate-Maintenance,Upright Plant,Foliage Plant,Air-Purifying Plants,
Pilea Peperomioides,Pilea spp.,"Pilea Peperomioides, also known as the Chinese Money Plant, is a small, low-growing plant with round, coin-like leaves. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Low-Growing Plant,Foliage Plant,Pet-Friendly Plants,
Polka Dot Plant,Hypoestes phyllostachya,"Polka Dot Plant is a charming, small houseplant with spotted, colorful foliage in shades of pink, red, or white. It prefers bright, indirect light and consistently moist soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Low-Growing Plant,Foliage Plant,Pet-Friendly Plants,
Rubber Tree,Ficus elastica,"Rubber Tree is a popular houseplant with large, glossy, dark green leaves. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Large-Space Plant,Low-Maintenance,Upright Plant,Foliage Plant,Air-Purifying Plants,
Umbrella Tree,Schefflera actinophylla,"Umbrella Tree is an evergreen shrub or small tree with glossy, palmately compound leaves that resemble an umbrella. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Large-Space Plant,Low-Maintenance,Upright Plant,Foliage Plant,Air-Purifying Plants,
Asparagus Fern,Asparagus spp.,"Asparagus Fern is a group of perennial plants with feathery, fern-like foliage. They prefer bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Foliage Plant,Pet-Friendly Plants,
Asparagus Fern,Asparagus setaceus,"Asparagus setaceus, also known as Plumosa Fern, is an ornamental plant with feathery, fern-like foliage. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Foliage Plant,Pet-Friendly Plants,
Kangaroo Paw Fern,Microsorum diversifolium,"Kangaroo Paw Fern is an epiphytic fern with long, leathery, finger-like fronds. It prefers bright, indirect light and consistently moist soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Foliage Plant,Pet-Friendly Plants,
Kimberly Queen Fern,Nephrolepis obliterata,"Kimberly Queen Fern is a lush, upright fern with sword-shaped fronds. It prefers bright, indirect light and consistently moist soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Upright Plant,Foliage Plant,Air-Purifying Plants,
Wandering Jew,Tradescantia zebrina,"Wandering Jew is a fast-growing, trailing plant with green and purple striped leaves. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Foliage Plant,Pet-Friendly Plants,
Baby’s Tears,Soleirolia soleirolii,"Baby’s Tears is a low-growing, creeping plant with tiny, round leaves that form a dense, moss-like carpet. It prefers bright, indirect light and consistently moist soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Groundcover Plant,Foliage Plant,Pet-Friendly Plants,
Bolivian Jew,Callisia repens,"Bolivian Jew is a low-growing, trailing plant with small, round, succulent-like leaves. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Foliage Plant,Pet-Friendly Plants,
Bridal Veil,Gibasis geniculata,"Bridal Veil is a trailing plant with arching stems covered in small, white flowers. It prefers bright, indirect light and consistently moist soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Flowering Plant,Fragrant Plants,
Chain Cactus,Rhipsalis spp.,"Chain Cactus is a group of epiphytic cacti with long, pendant, chain-like stems. They prefer bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Foliage Plant,Unusual or Exotic Plants,
Creeping Charlie,Pilea nummulariifolia,"Creeping Charlie is a fast-growing, trailing plant with round, scalloped leaves. It prefers bright, indirect light and consistently moist soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Foliage Plant,Pet-Friendly Plants,
Fishbone Cactus,Epiphyllum anguliger,"Fishbone Cactus is an epiphytic cactus with flat, zigzag stems. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Foliage Plant,Unusual or Exotic Plants,
Grape Ivy,Cissus rhombifolia,"Grape Ivy is a trailing plant with lobed, ivy-like leaves. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Foliage Plant,Pet-Friendly Plants,
Mistletoe Cactus,Rhipsalis spp.,"Mistletoe Cactus is an epiphytic cactus with pendant, branching stems. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Foliage Plant,Unusual or Exotic Plants,
Moneywort,Lysimachia nummularia,"Moneywort is a creeping, groundcover plant with round, green leaves and yellow flowers. It prefers partial to full sun and consistently moist soil.",Partial to Full Sun,Moderate Watering,Groundcover Plant,Low-Maintenance,Creeping Plant,Flowering Plant,Pet-Friendly Plants,
Pilea ‘Silver Tree’,Pilea spruceana,"Pilea ‘Silver Tree’ is a small, compact plant with metallic silver foliage. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Compact Plant,Foliage Plant,Pet-Friendly Plants,
Purple Heart,Tradescantia pallida,"Purple Heart is a trailing plant with purple, lance-shaped leaves and small pink flowers. It prefers partial to full sun and well-draining soil.",Partial to Full Sun,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Flowering Plant,Pet-Friendly Plants,
Purple Passion,Gynura aurantiaca,"Purple Passion is a unique plant with velvety, purple-green leaves. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Upright Plant,Foliage Plant,Unusual or Exotic Plants,
Spiderwort,Tradescantia spp.,"Spiderwort is a group of trailing plants with lance-shaped leaves and three-petaled flowers. They prefer bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Flowering Plant,Pet-Friendly Plants,
Swedish Ivy,Plectranthus spp.,"Swedish Ivy is a trailing plant with rounded, scalloped leaves and spikes of tubular flowers. It prefers bright, indirect light and well-draining soil.",Bright Indirect Light,Moderate Watering,Small-Space Plant,Low-Maintenance,Trailing Plant,Flowering Plant,Pet-Friendly Plants,
